,precision,recall,f1-score,support
Books,0.6056338028169014,0.7232968881412952,0.6592564200843235,2378.0
Clothing & Accessories,0.554958183990442,0.5308571428571428,0.5426401869158879,1750.0
Electronics,0.5426603073661898,0.4918347742555235,0.5159989921894684,2082.0
Household,0.6506514657980456,0.6185806451612903,0.6342108744542929,3875.0
accuracy,0.601883986117997,0.601883986117997,0.601883986117997,0.601883986117997
macro avg,0.5884759399928947,0.591142362603813,0.5880266184109932,10085.0
weighted avg,0.6011370545350222,0.601883986117997,0.599822422837103,10085.0
