,precision,recall,f1-score,support
Books,0.8297775760326827,0.768713204373423,0.7980790220475878,2378.0
Clothing & Accessories,0.6186666666666667,0.13257142857142856,0.21835294117647058,1750.0
Electronics,0.6605042016806723,0.18876080691642652,0.29361225252147927,2082.0
Household,0.4934895833333333,0.880258064516129,0.6324279224993047,3875.0
accuracy,0.5814576103123451,0.5814576103123451,0.5814576103123451,0.5814576103123451
macro avg,0.6506095069283387,0.4925758760943518,0.48561803456121055,10085.0
weighted avg,0.6289855851054251,0.5814576103123451,0.5296884948857227,10085.0
