,precision,recall,f1-score,support
Books,0.7689320388349514,0.832632464255677,0.7995154451847365,2378.0
Clothing & Accessories,0.47049924357034795,0.1777142857142857,0.25798423890501865,1750.0
Electronics,0.4825079509313948,0.5100864553314121,0.4959140789166472,2082.0
Household,0.7508605851979346,0.9006451612903226,0.8189604599319489,3875.0
accuracy,0.6785324739712444,0.6785324739712444,0.6785324739712444,0.6785324739712444
macro avg,0.6181999546336572,0.6052695916479243,0.5930935557345878,10085.0
weighted avg,0.6510719272264536,0.6785324739712444,0.6503406089512987,10085.0
