,precision,recall,f1-score,support
Books,0.921957671957672,0.8793103448275862,0.9001291433491175,2378.0
Clothing & Accessories,0.9295774647887324,0.8674285714285714,0.8974283180608927,1750.0
Electronics,0.9237990060739922,0.803554274735831,0.8594913948111996,2082.0
Household,0.8328378687399954,0.9398709677419355,0.8831231813773036,3875.0
accuracy,0.8848785324739712,0.8848785324739712,0.8848785324739712,0.8848785324739712
macro avg,0.902043002890098,0.8725410396834811,0.8850430093996284,10085.0
weighted avg,0.8894171719691779,0.8848785324739712,0.8847367448016592,10085.0
