,precision,recall,f1-score,support
Books,0.935251798561151,0.7106812447434819,0.8076463560334528,2378.0
Clothing & Accessories,0.9718446601941747,0.572,0.7201438848920864,1750.0
Electronics,0.9580536912751678,0.5485110470701249,0.6976175931582163,2082.0
Household,0.6223579920739762,0.9726451612903226,0.7590373577686034,3875.0
accuracy,0.7537927615270203,0.7537927615270203,0.7537927615270203,0.7537927615270203
macro avg,0.8718770355261175,0.7009593632759823,0.7461112979630897,10085.0
weighted avg,0.8260844756410293,0.7537927615270203,0.7510703444241394,10085.0
